Player,Player ID,Age,Speciality,Days in Academy,WC X,Stage N,Description,Last Match Date,Season,Week,B_GK,B_CD,B_WB,B_IM,B_W,B_F,L_GK,L_CD,L_WB,L_IM,L_W,L_F,Last Match Details,Country,Last update
Pawel Szymczyk,326497345,17.007,,79,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,30.05.2023
Pawel Trzupek,326497334,15.086,,79,WC 38,,Final,,,,-1,-1,4.5,-1,-1,-1,-1.0,-1.0,4.5,-1.0,-1.0,-1.0,24.05.2023 boczny_obronca (90'),Polska,30.05.2023
Teodozy Kopec,326497339,16.018,,79,WC 37,31,World Cup - Round II  Matchday 6,07/03/2025,90,9,-1,-1,-1,2.5,-1,-1,-1.0,-1.0,-1.0,2.5,-1.0,-1.0,24.05.2023 pomocnik (90'),Polska,30.05.2023
Wilhelm Sroczynski,326497344,17.065,,79,WC 37,3,Continental Championship  Matchday 1,04/10/2024,89,3,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,--------,Polska,30.05.2023
Witold Romaniec,326497342,16.099,,79,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,-1,-1,-1,-1,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,24.05.2023 napastnik (90'),Polska,30.05.2023
Wladyslaw Zawilinski,326497341,16.038,,79,WC 37,28,World Cup - Round II  Matchday 3,21/02/2025,90,7,-1,-1,-1,-1,2.5,-1,-1.0,-1.0,-1.0,-1.0,2.5,-1.0,24.05.2023 skrzydlowy (90'),Polska,30.05.2023
Apolinary Sznabel,321820657,17.050,T,149,WC 37,7,Continental Championship  Matchday 5,18/10/2024,89,5,-1,-1,-1,3.5,-1,5,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,29.05.2023 napastnik (90'),Polska,30.05.2023
Fryderyk Gilas,321257446,17.003,,156,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,0.5,2,-1,3.5,3.5,-1,-1.0,-1.0,-1.0,-1.0,3.5,-1.0,10.04.2023 skrzydlowy (90'),Polska,30.05.2023
Gordon Marszal,326563667,16.037,T,44,WC 37,28,World Cup - Round II  Matchday 3,21/02/2025,90,7,-1,-1,-1,-1,5.5,-1,-1.0,-1.0,-1.0,-1.0,5.5,-1.0,29.05.2023 skrzydlowy (90'),Polska,30.05.2023
Julian Nowaczek,322472889,17.053,,121,WC 37,6,Continental Championship  Matchday 4,14/10/2024,89,5,-1,3,-1,-1,-1,6,-1.0,3.0,-1.0,-1.0,-1.0,6.0,20.03.2023 stoper (90'),Polska,30.05.2023
Leslaw Sledziewicz,314420380,17.071,,254,WC 37,2,Friendly,27/09/2024,89,2,-1,-1,-1,-1,-1,6,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,29.05.2023 napastnik (90'),Polska,30.05.2023
Michal Piecha,322886163,16.056,,128,WC 37,24,World Cup - Round I  Matchday 9,31/01/2025,90,4,-1,-1,-1,-1,4,-1,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,29.05.2023 skrzydlowy (90'),Polska,30.05.2023
Przemyslaw Lichy,326119349,17.005,,65,WC 37,14,Continental Championship - Semifinals,02/12/2024,89,12,-1,2,-1,-1,-1,-1,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,29.05.2023 stoper (90'),Polska,30.05.2023
